02:02:03.857 [nacos-grpc-client-executor-localhost-7] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [212d064e-94a3-4560-b304-9a051f0966dc] Ack server push request, request = NotifySubscriberRequest, requestId = 52
02:02:05.212 [main] INFO  c.a.s.s.MfSysApplication - [logStarted,61] - Started MfSysApplication in 23.809 seconds (JVM running for 24.966)
02:02:05.221 [main] INFO  c.a.n.c.c.i.CacheData - [<clinit>,67] - nacos.cache.data.init.snapshot = true 
02:02:05.221 [main] INFO  c.a.n.c.c.i.ClientWorker - [addCacheDataIfAbsent,381] - [fixed-localhost_8848] [subscribe] mf-sys.yml+DEFAULT_GROUP
02:02:05.222 [main] INFO  c.a.n.c.c.i.CacheData - [addListener,197] - [fixed-localhost_8848] [add-listener] ok, tenant=, dataId=mf-sys.yml, group=DEFAULT_GROUP, cnt=1
02:02:05.222 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListener,129] - [Nacos Config] Listening config: dataId=mf-sys.yml, group=DEFAULT_GROUP
02:02:05.222 [main] INFO  c.a.n.c.c.i.ClientWorker - [addCacheDataIfAbsent,381] - [fixed-localhost_8848] [subscribe] mf-sys+DEFAULT_GROUP
02:02:05.223 [main] INFO  c.a.n.c.c.i.CacheData - [addListener,197] - [fixed-localhost_8848] [add-listener] ok, tenant=, dataId=mf-sys, group=DEFAULT_GROUP, cnt=1
02:02:05.223 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListener,129] - [Nacos Config] Listening config: dataId=mf-sys, group=DEFAULT_GROUP
02:02:05.228 [main] INFO  c.a.n.c.c.i.ClientWorker - [addCacheDataIfAbsent,381] - [fixed-localhost_8848] [subscribe] mf-sys-dev.yml+DEFAULT_GROUP
02:02:05.228 [main] INFO  c.a.n.c.c.i.CacheData - [addListener,197] - [fixed-localhost_8848] [add-listener] ok, tenant=, dataId=mf-sys-dev.yml, group=DEFAULT_GROUP, cnt=1
02:02:05.228 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListener,129] - [Nacos Config] Listening config: dataId=mf-sys-dev.yml, group=DEFAULT_GROUP
02:02:05.229 [main] INFO  c.a.n.c.c.i.ClientWorker - [addCacheDataIfAbsent,381] - [fixed-localhost_8848] [subscribe] application-dev.yml+DEFAULT_GROUP
02:02:05.229 [main] INFO  c.a.n.c.c.i.CacheData - [addListener,197] - [fixed-localhost_8848] [add-listener] ok, tenant=, dataId=application-dev.yml, group=DEFAULT_GROUP, cnt=1
02:02:05.231 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListener,129] - [Nacos Config] Listening config: dataId=application-dev.yml, group=DEFAULT_GROUP
02:02:05.232 [main] INFO  c.a.s.s.MfSysApplication - [main,18] - 
	----------------------------------------------------------
	
	--------------------系统基础框架启动成功-----------------------
	
02:02:05.316 [RMI TCP Connection(7)-192.168.0.190] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
21:36:22.824 [main] INFO  c.a.s.s.MfSysApplication - [logStartupProfileInfo,637] - The following 1 profile is active: "dev"
21:36:25.843 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
21:36:25.843 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.70]
21:36:26.027 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
21:36:33.107 [main] INFO  c.a.d.p.DruidDataSource - [init,985] - {dataSource-1,master} inited
21:36:33.117 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [addDataSource,154] - dynamic-datasource - add a datasource named [master] success
21:36:33.118 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [afterPropertiesSet,234] - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
21:36:35.881 [main] INFO  c.a.c.s.SentinelWebMvcConfigurer - [addInterceptors,52] - [Sentinel Starter] register SentinelWebInterceptor with urlPatterns: [/**].
21:36:38.600 [main] INFO  c.a.n.c.e.SearchableProperties - [sortPropertySourceDefaultOrder,197] - properties search order:PROPERTIES->JVM->ENV->DEFAULT_SETTING
21:36:38.608 [main] INFO  c.a.n.client.naming - [initNamespaceForNaming,61] - initializer namespace from System Property : null
21:36:38.608 [main] INFO  c.a.n.client.naming - [lambda$initNamespaceForNaming$0,65] - initializer namespace from System Environment :null
21:36:38.608 [main] INFO  c.a.n.client.naming - [lambda$initNamespaceForNaming$1,72] - initializer namespace from System Property :
21:36:38.615 [main] INFO  c.a.n.p.a.s.c.ClientAuthPluginManager - [init,56] - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.impl.NacosClientAuthServiceImpl success.
21:36:38.615 [main] INFO  c.a.n.p.a.s.c.ClientAuthPluginManager - [init,56] - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.ram.RamClientAuthServiceImpl success.
21:36:38.615 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,94] - [RpcClientFactory] create a new rpc client of b4a7b29d-957f-42d5-aad0-4c0085bf1d3c
21:36:38.622 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [b4a7b29d-957f-42d5-aad0-4c0085bf1d3c] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
21:36:38.622 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [b4a7b29d-957f-42d5-aad0-4c0085bf1d3c] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
21:36:38.622 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [b4a7b29d-957f-42d5-aad0-4c0085bf1d3c] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
21:36:38.622 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [b4a7b29d-957f-42d5-aad0-4c0085bf1d3c] Try to connect to server on start up, server: {serverIp = 'localhost', server main port = 8848}
21:36:38.737 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [b4a7b29d-957f-42d5-aad0-4c0085bf1d3c] Success to connect to server [localhost:8848] on start up, connectionId = 1684676198624_127.0.0.1_58043
21:36:38.737 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [b4a7b29d-957f-42d5-aad0-4c0085bf1d3c] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
21:36:38.737 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [b4a7b29d-957f-42d5-aad0-4c0085bf1d3c] Notify connected event to listeners.
21:36:38.737 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [b4a7b29d-957f-42d5-aad0-4c0085bf1d3c] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$356/486759395
21:36:38.737 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.client.naming - [onConnected,78] - Grpc connection connect
21:36:38.739 [main] INFO  c.a.n.client.naming - [subscribe,167] - [SUBSCRIBE-SERVICE] service:mf-sys, group:DEFAULT_GROUP, clusters:DEFAULT 
21:36:38.748 [main] INFO  c.a.n.client.naming - [isChangedServiceInfo,184] - init new ips(0) service: DEFAULT_GROUP@@mf-sys@@DEFAULT -> []
21:36:38.757 [main] INFO  c.a.n.client.naming - [processServiceInfo,169] - current ips:(0) service: DEFAULT_GROUP@@mf-sys@@DEFAULT -> []
21:36:38.781 [main] INFO  c.a.n.client.naming - [registerService,120] - [REGISTER-SERVICE] public registering service mf-sys with instance Instance{instanceId='null', ip='169.254.54.134', port=9221, weight=1.0, healthy=true, enabled=true, ephemeral=true, clusterName='DEFAULT', serviceName='null', metadata={preserved.register.source=SPRING_CLOUD}}
21:36:38.788 [main] INFO  c.a.c.n.r.NacosServiceRegistry - [register,75] - nacos registry, DEFAULT_GROUP mf-sys 169.254.54.134:9221 register finished
21:36:39.331 [nacos-grpc-client-executor-localhost-9] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [b4a7b29d-957f-42d5-aad0-4c0085bf1d3c] Receive server push request, request = NotifySubscriberRequest, requestId = 3
21:36:39.353 [nacos-grpc-client-executor-localhost-9] INFO  c.a.n.client.naming - [isChangedServiceInfo,235] - new ips(1) service: DEFAULT_GROUP@@mf-sys@@DEFAULT -> [{"ip":"169.254.54.134","port":9221,"weight":1.0,"healthy":true,"enabled":true,"ephemeral":true,"clusterName":"DEFAULT","serviceName":"DEFAULT_GROUP@@mf-sys","metadata":{"preserved.register.source":"SPRING_CLOUD"},"ipDeleteTimeout":30000,"instanceHeartBeatInterval":5000,"instanceHeartBeatTimeOut":15000}]
21:36:39.354 [nacos-grpc-client-executor-localhost-9] INFO  c.a.n.client.naming - [processServiceInfo,169] - current ips:(1) service: DEFAULT_GROUP@@mf-sys@@DEFAULT -> [{"ip":"169.254.54.134","port":9221,"weight":1.0,"healthy":true,"enabled":true,"ephemeral":true,"clusterName":"DEFAULT","serviceName":"DEFAULT_GROUP@@mf-sys","metadata":{"preserved.register.source":"SPRING_CLOUD"},"ipDeleteTimeout":30000,"instanceHeartBeatInterval":5000,"instanceHeartBeatTimeOut":15000}]
21:36:39.359 [nacos-grpc-client-executor-localhost-9] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [b4a7b29d-957f-42d5-aad0-4c0085bf1d3c] Ack server push request, request = NotifySubscriberRequest, requestId = 3
21:36:39.731 [main] INFO  c.a.s.s.MfSysApplication - [logStarted,61] - Started MfSysApplication in 20.609 seconds (JVM running for 21.716)
21:36:39.746 [main] INFO  c.a.n.c.c.i.CacheData - [<clinit>,67] - nacos.cache.data.init.snapshot = true 
21:36:39.746 [main] INFO  c.a.n.c.c.i.ClientWorker - [addCacheDataIfAbsent,381] - [fixed-localhost_8848] [subscribe] mf-sys.yml+DEFAULT_GROUP
21:36:39.746 [main] INFO  c.a.n.c.c.i.CacheData - [addListener,197] - [fixed-localhost_8848] [add-listener] ok, tenant=, dataId=mf-sys.yml, group=DEFAULT_GROUP, cnt=1
21:36:39.746 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListener,129] - [Nacos Config] Listening config: dataId=mf-sys.yml, group=DEFAULT_GROUP
21:36:39.746 [main] INFO  c.a.n.c.c.i.ClientWorker - [addCacheDataIfAbsent,381] - [fixed-localhost_8848] [subscribe] mf-sys+DEFAULT_GROUP
21:36:39.746 [main] INFO  c.a.n.c.c.i.CacheData - [addListener,197] - [fixed-localhost_8848] [add-listener] ok, tenant=, dataId=mf-sys, group=DEFAULT_GROUP, cnt=1
21:36:39.746 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListener,129] - [Nacos Config] Listening config: dataId=mf-sys, group=DEFAULT_GROUP
21:36:39.746 [main] INFO  c.a.n.c.c.i.ClientWorker - [addCacheDataIfAbsent,381] - [fixed-localhost_8848] [subscribe] mf-sys-dev.yml+DEFAULT_GROUP
21:36:39.746 [main] INFO  c.a.n.c.c.i.CacheData - [addListener,197] - [fixed-localhost_8848] [add-listener] ok, tenant=, dataId=mf-sys-dev.yml, group=DEFAULT_GROUP, cnt=1
21:36:39.752 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListener,129] - [Nacos Config] Listening config: dataId=mf-sys-dev.yml, group=DEFAULT_GROUP
21:36:39.756 [main] INFO  c.a.n.c.c.i.ClientWorker - [addCacheDataIfAbsent,381] - [fixed-localhost_8848] [subscribe] application-dev.yml+DEFAULT_GROUP
21:36:39.756 [main] INFO  c.a.n.c.c.i.CacheData - [addListener,197] - [fixed-localhost_8848] [add-listener] ok, tenant=, dataId=application-dev.yml, group=DEFAULT_GROUP, cnt=1
21:36:39.756 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListener,129] - [Nacos Config] Listening config: dataId=application-dev.yml, group=DEFAULT_GROUP
21:36:39.756 [main] INFO  c.a.s.s.MfSysApplication - [main,18] - 
	----------------------------------------------------------
	
	--------------------系统基础框架启动成功-----------------------
	
21:36:41.286 [RMI TCP Connection(6)-172.18.217.135] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
21:38:38.961 [nacos-grpc-client-executor-localhost-56] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [5078f6fa-f96d-4174-a552-d13217224a73_config-0] Receive server push request, request = ConfigChangeNotifyRequest, requestId = 8
21:38:38.963 [nacos-grpc-client-executor-localhost-56] INFO  c.a.n.c.c.i.ClientWorker - [lambda$initRpcClientHandler$0,605] - [5078f6fa-f96d-4174-a552-d13217224a73_config-0] [server-push] config changed. dataId=application-dev.yml, group=DEFAULT_GROUP,tenant=null
21:38:38.963 [nacos-grpc-client-executor-localhost-56] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [5078f6fa-f96d-4174-a552-d13217224a73_config-0] Ack server push request, request = ConfigChangeNotifyRequest, requestId = 8
21:38:38.986 [com.alibaba.nacos.client.Worker] INFO  c.a.n.c.c.i.ClientWorker - [refreshContentAndCheck,450] - [fixed-localhost_8848] [data-received] dataId=application-dev.yml, group=DEFAULT_GROUP, tenant=, md5=8afeaf04e68c79c7793f5b8b4fa64d99, content=spring:
  autoconfigure:
    exclude: com.alibaba.druid.spring.boot.autoconfigure.DruidDataSourceAut..., type=yaml
21:38:38.987 [com.alibaba.nacos.client.Worker] INFO  c.a.n.c.c.i.CacheData - [safeNotifyListener,383] - [fixed-localhost_8848] [notify-listener] time cost=1ms in ClientWorker, dataId=application-dev.yml, group=DEFAULT_GROUP, md5=8afeaf04e68c79c7793f5b8b4fa64d99, listener=com.alibaba.cloud.nacos.refresh.NacosContextRefresher$1@71016d8d 
21:38:38.987 [nacos.client.cachedata.internal.notifier] INFO  c.a.n.c.c.i.CacheData - [lambda$safeNotifyListener$1,319] - [fixed-localhost_8848] [notify-context] dataId=application-dev.yml, group=DEFAULT_GROUP, md5=8afeaf04e68c79c7793f5b8b4fa64d99
21:38:39.827 [nacos.client.cachedata.internal.notifier] INFO  c.a.n.c.c.i.CacheData - [lambda$safeNotifyListener$1,345] - [fixed-localhost_8848] [notify-ok] dataId=application-dev.yml, group=DEFAULT_GROUP, md5=8afeaf04e68c79c7793f5b8b4fa64d99, listener=com.alibaba.cloud.nacos.refresh.NacosContextRefresher$1@71016d8d ,cost=840 millis.
21:39:00.451 [main] INFO  c.a.s.s.MfSysApplication - [logStartupProfileInfo,637] - The following 1 profile is active: "dev"
21:39:03.401 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
21:39:03.401 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.70]
21:39:03.542 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
21:39:08.312 [main] INFO  c.a.d.p.DruidDataSource - [init,985] - {dataSource-1,master} inited
21:39:08.312 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [addDataSource,154] - dynamic-datasource - add a datasource named [master] success
21:39:08.312 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [afterPropertiesSet,234] - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
21:39:11.107 [main] INFO  c.a.c.s.SentinelWebMvcConfigurer - [addInterceptors,52] - [Sentinel Starter] register SentinelWebInterceptor with urlPatterns: [/**].
21:39:14.167 [main] INFO  c.a.n.c.e.SearchableProperties - [sortPropertySourceDefaultOrder,197] - properties search order:PROPERTIES->JVM->ENV->DEFAULT_SETTING
21:39:14.168 [main] INFO  c.a.n.client.naming - [initNamespaceForNaming,61] - initializer namespace from System Property : null
21:39:14.168 [main] INFO  c.a.n.client.naming - [lambda$initNamespaceForNaming$0,65] - initializer namespace from System Environment :null
21:39:14.168 [main] INFO  c.a.n.client.naming - [lambda$initNamespaceForNaming$1,72] - initializer namespace from System Property :
21:39:14.173 [main] INFO  c.a.n.p.a.s.c.ClientAuthPluginManager - [init,56] - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.impl.NacosClientAuthServiceImpl success.
21:39:14.173 [main] INFO  c.a.n.p.a.s.c.ClientAuthPluginManager - [init,56] - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.ram.RamClientAuthServiceImpl success.
21:39:14.179 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,94] - [RpcClientFactory] create a new rpc client of d19e8dd1-396b-4753-a4dc-703c44a55060
21:39:14.179 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [d19e8dd1-396b-4753-a4dc-703c44a55060] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
21:39:14.179 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [d19e8dd1-396b-4753-a4dc-703c44a55060] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
21:39:14.179 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [d19e8dd1-396b-4753-a4dc-703c44a55060] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
21:39:14.179 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [d19e8dd1-396b-4753-a4dc-703c44a55060] Try to connect to server on start up, server: {serverIp = 'localhost', server main port = 8848}
21:39:14.301 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [d19e8dd1-396b-4753-a4dc-703c44a55060] Success to connect to server [localhost:8848] on start up, connectionId = 1684676354189_127.0.0.1_58502
21:39:14.301 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [d19e8dd1-396b-4753-a4dc-703c44a55060] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
21:39:14.301 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [d19e8dd1-396b-4753-a4dc-703c44a55060] Notify connected event to listeners.
21:39:14.301 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [d19e8dd1-396b-4753-a4dc-703c44a55060] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$356/1323514615
