08:13:10.053 [main] INFO  c.a.s.w.MfWebApplication - [logStartupProfileInfo,637] - The following 1 profile is active: "dev"
08:13:12.221 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
08:13:12.221 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.70]
08:13:12.429 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
08:13:13.465 [main] INFO  c.a.d.p.DruidDataSource - [init,985] - {dataSource-1,master} inited
08:13:13.491 [Druid-ConnectionPool-Create-1300389310] INFO  c.a.d.p.DruidAbstractDataSource - [setFailContinuous,1883] - {dataSource-1} failContinuous is true
08:13:13.501 [main] INFO  o.a.c.c.StandardService - [log,173] - Stopping service [Tomcat]
08:13:53.025 [main] INFO  c.a.s.w.MfWebApplication - [logStartupProfileInfo,637] - The following 1 profile is active: "dev"
08:13:54.943 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
08:13:54.943 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.70]
08:13:55.091 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
08:13:55.974 [main] INFO  c.a.d.p.DruidDataSource - [init,985] - {dataSource-1,master} inited
08:13:55.974 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [addDataSource,154] - dynamic-datasource - add a datasource named [master] success
08:13:55.974 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [afterPropertiesSet,234] - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
08:13:56.443 [main] INFO  c.a.c.s.SentinelWebMvcConfigurer - [addInterceptors,52] - [Sentinel Starter] register SentinelWebInterceptor with urlPatterns: [/**].
08:14:00.333 [main] INFO  c.a.n.c.e.SearchableProperties - [sortPropertySourceDefaultOrder,197] - properties search order:PROPERTIES->JVM->ENV->DEFAULT_SETTING
08:14:00.343 [main] INFO  c.a.n.client.naming - [initNamespaceForNaming,61] - initializer namespace from System Property : null
08:14:00.343 [main] INFO  c.a.n.client.naming - [lambda$initNamespaceForNaming$0,65] - initializer namespace from System Environment :null
08:14:00.343 [main] INFO  c.a.n.client.naming - [lambda$initNamespaceForNaming$1,72] - initializer namespace from System Property :
08:14:00.343 [main] INFO  c.a.n.p.a.s.c.ClientAuthPluginManager - [init,56] - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.impl.NacosClientAuthServiceImpl success.
08:14:00.343 [main] INFO  c.a.n.p.a.s.c.ClientAuthPluginManager - [init,56] - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.ram.RamClientAuthServiceImpl success.
08:14:00.353 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,94] - [RpcClientFactory] create a new rpc client of 2be42721-ceb8-4090-a465-fab803d983c8
08:14:00.353 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2be42721-ceb8-4090-a465-fab803d983c8] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
08:14:00.353 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2be42721-ceb8-4090-a465-fab803d983c8] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
08:14:00.353 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2be42721-ceb8-4090-a465-fab803d983c8] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
08:14:00.353 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2be42721-ceb8-4090-a465-fab803d983c8] Try to connect to server on start up, server: {serverIp = 'localhost', server main port = 8848}
08:14:00.466 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2be42721-ceb8-4090-a465-fab803d983c8] Success to connect to server [localhost:8848] on start up, connectionId = 1683418440353_127.0.0.1_62091
08:14:00.466 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2be42721-ceb8-4090-a465-fab803d983c8] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
08:14:00.466 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2be42721-ceb8-4090-a465-fab803d983c8] Notify connected event to listeners.
08:14:00.466 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2be42721-ceb8-4090-a465-fab803d983c8] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$356/406358588
08:14:00.466 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.client.naming - [onConnected,78] - Grpc connection connect
