07:50:34.569 [boundedElastic-5] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/test/v2/api-docs,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-test"
21:12:45.939 [boundedElastic-118] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/storage/file/cefc882726394e3e8cd8df976d3c4eb5.png,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-storage"
21:13:05.960 [boundedElastic-118] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/storage/file/cefc882726394e3e8cd8df976d3c4eb5.png,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-storage"
21:14:35.493 [boundedElastic-103] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/storage/file/cefc882726394e3e8cd8df976d3c4eb5.png,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-storage"
21:31:36.028 [boundedElastic-5] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/storage/file/cefc882726394e3e8cd8df976d3c4eb5.png,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-storage"
21:31:40.092 [boundedElastic-5] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/storage/file/cefc882726394e3e8cd8df976d3c4eb5.png,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-storage"
21:39:12.448 [boundedElastic-5] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/storage/file/cefc882726394e3e8cd8df976d3c4eb5.png,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-storage"
21:39:16.735 [boundedElastic-5] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/storage/file/cefc882726394e3e8cd8df976d3c4eb5.png,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-storage"
21:41:22.462 [boundedElastic-3] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/storage/file/cefc882726394e3e8cd8df976d3c4eb5.png,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-storage"
21:41:22.697 [boundedElastic-3] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/storage/file/cefc882726394e3e8cd8df976d3c4eb5.png,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-storage"
21:45:17.135 [reactor-http-nio-6] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/oauth2/user/info,异常信息:Connection refused: no further information: /192.168.178.1:9218
21:45:17.135 [reactor-http-nio-7] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/sys/sysConfig,异常信息:Connection refused: no further information: /192.168.178.1:9221
21:45:19.337 [reactor-http-nio-10] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/oauth2/authorize,异常信息:Connection refused: no further information: /192.168.178.1:9218
21:45:19.402 [reactor-http-nio-8] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/favicon.ico,异常信息:404 NOT_FOUND
21:45:24.540 [reactor-http-nio-13] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/oauth2/authorize,异常信息:Connection refused: no further information: /192.168.178.1:9218
21:45:24.564 [reactor-http-nio-9] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/favicon.ico,异常信息:404 NOT_FOUND
21:45:37.590 [reactor-http-nio-16] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/sys/sysConfig,异常信息:Connection refused: no further information: /192.168.178.1:9221
21:45:37.590 [reactor-http-nio-1] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/oauth2/user/info,异常信息:Connection refused: no further information: /192.168.178.1:9218
21:45:40.699 [reactor-http-nio-4] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/oauth2/user/info,异常信息:Connection refused: no further information: /192.168.178.1:9218
21:45:40.856 [reactor-http-nio-6] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/oauth2/user/info,异常信息:Connection refused: no further information: /192.168.178.1:9218
21:45:41.269 [reactor-http-nio-9] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/sys/sysConfig,异常信息:Connection refused: no further information: /192.168.178.1:9221
21:45:41.312 [reactor-http-nio-11] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/oauth2/accessToken,异常信息:Connection refused: no further information: /192.168.178.1:9218
21:45:45.783 [reactor-http-nio-14] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/oauth2/authorize,异常信息:Connection refused: no further information: /192.168.178.1:9218
21:45:45.816 [reactor-http-nio-12] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/favicon.ico,异常信息:404 NOT_FOUND
21:49:01.952 [boundedElastic-6] ERROR c.a.s.g.h.GatewayExceptionHandler - [handle,38] - [统一异常处理]----请求路径:/storage/file/cefc882726394e3e8cd8df976d3c4eb5.png,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for mf-storage"
